gene_id	product	protein_id
187	IUM83_01884	hypothetical protein	KAG6624006.1
188	IUM83_01885	Transcriptional activator Myb	KAG6623744.1
189	IUM83_01886	Transmembrane protein	KAG6623746.1
190	IUM83_01887	Major Facilitator Superfamily (MFS)	KAG6623745.1
191	IUM83_01888	Major Facilitator Superfamily (MFS)	KAG6624011.1
192	IUM83_01889	Merozoite surface protein 1	KAG6623748.1
193	IUM83_01890	putative spermine/spermidine synthase	KAG6623466.1
194	IUM83_01891	Tyrosine-protein kinase HCK	KAG6623467.1
195	IUM83_01892	Copia proteinlike	KAG6623463.1
196	IUM83_01893	Threonine-tRNA ligase	KAG6623465.1
197	IUM83_01894	RNA 3'-phosphate cyclase	KAG6623470.1
198	IUM83_01895	Eukaryotic translation elongation factor 1 epsilon-1	KAG6623471.1
199	IUM83_01896	31 kda chloroplastic	KAG6623468.1
200	IUM83_01897	Ubiquitin domain	KAG6623469.1
201	IUM83_01898	threonine-tRNA ligase	KAG6623461.1
202	IUM83_01899	Intraflagellar transport protein 56	KAG6623472.1
203	IUM83_01900	SMAD/FHA domain	KAG6623832.1
204	IUM83_01901	pre-mrna-splicing factor cwc15	KAG6623834.1
205	IUM83_01902	Phosphatidylinositol-4-phosphate 5-kinase	KAG6623892.1
206	IUM83_01903	peptidyl-tRNA hydrolase	KAG6623785.1
207	IUM83_01904	Peptidyl-tRNA hydrolase	KAG6623827.1
208	IUM83_01905	Tetratricopeptide-like helical	KAG6623828.1
209	IUM83_01906	hypothetical protein	KAG6623829.1
210	IUM83_01907	RmlC-like jelly roll fold	KAG6623830.1
211	IUM83_01908	3-deoxy-8-phosphooctulonate synthase	KAG6623835.1
212	IUM83_01909	Microtubule-associated protein RP/EB family member 1	KAG6623836.1
213	IUM83_01910	Gamma-tubulin complex, DGRIP91/SPC98 component	KAG6623529.1
214	IUM83_01911	histone deacetylase 8	KAG6623528.1
215	IUM83_01912	Cytochrome P450	KAG6623527.1
216	IUM83_01913	Glucose-induced degradation protein 8	KAG6623526.1
217	IUM83_01914	hypothetical protein	KAG6623525.1
218	IUM83_01915	Cytochrome P450 86A2	KAG6623524.1
219	IUM83_01916	ATP-binding Cassette (ABC) Superfamily	KAG6623523.1
220	IUM83_01917	Cytochrome P450	KAG6623522.1
221	IUM83_01918	Cytochrome P450 86A2	KAG6623531.1
222	IUM83_01919	hypothetical protein	KAG6623530.1
223	IUM83_01920	hypothetical protein	KAG6623768.1
224	IUM83_01921	lipoprotein, type 6	KAG6624027.1
225	IUM83_01922	Rab6 GTPase	KAG6623855.1
226	IUM83_01923	n-acetyltransferase 9	KAG6623856.1
227	IUM83_01924	hypothetical protein	KAG6624049.1
228	IUM83_01925	hypothetical protein	KAG6623749.1
229	IUM83_01926	Cortactin-binding protein 2	KAG6623853.1
230	IUM83_01927	Cortactin-binding protein 2	KAG6623854.1
231	IUM83_01928	hypothetical protein	KAG6623851.1
232	IUM83_01929	hypothetical protein	KAG6623852.1
233	IUM83_01930	Regulatory factor, effector binding domain	KAG6623806.1
234	IUM83_01931	hypothetical protein	KAG6623559.1
235	IUM83_01932	TKL/TKL-CCIN protein kinase	KAG6623807.1
236	IUM83_01933	hypothetical protein	KAG6623599.1
237	IUM83_01934	protein phosphatase 2C 11	KAG6623560.1
238	IUM83_01935	putative transmembrane protein	KAG6623808.1
239	IUM83_01936	putative secreted RxLR effector protein	KAG6623562.1
240	IUM83_01937	Secreted RxLR effector peptide protein	KAG6623561.1
241	IUM83_01938	putative secreted RxLR effector protein	KAG6623558.1
242	IUM83_01939	Retrovirus Polyprotein	KAG6623557.1
243	IUM83_01940	hypothetical protein	KAG6623758.1
244	IUM83_01941	putative secreted RxLR effector peptide protein	KAG6623759.1
245	IUM83_01942	importin-like protein	KAG6623760.1
246	IUM83_01943	putative secreted RxLR effector protein	KAG6623761.1
247	IUM83_01944	hypothetical protein	KAG6623762.1
248	IUM83_01945	hypothetical protein	KAG6623763.1
249	IUM83_01946	pectin methylesterase	KAG6623764.1
250	IUM83_01947	hypothetical protein	KAG6623765.1
251	IUM83_01948	RxLR-like protein	KAG6623756.1
252	IUM83_01949	RxLR-like protein	KAG6623757.1
253	IUM83_01950	hypothetical protein	KAG6624044.1
254	IUM83_01951	hypothetical protein	KAG6624043.1
255	IUM83_01952	Major Facilitator Superfamily (MFS)	KAG6624042.1
256	IUM83_01953	ABC transporter-like protein	KAG6624041.1
257	IUM83_01954	ATP-binding Cassette (ABC) Superfamily	KAG6624048.1
258	IUM83_01955	ABC transporter-like protein	KAG6624047.1
259	IUM83_01956	hypothetical protein	KAG6624046.1
260	IUM83_01957	Neutral ceramidase	KAG6624045.1
261	IUM83_01958	ATP-binding Cassette (ABC) Superfamily	KAG6624040.1
262	IUM83_01959	Neutral ceramidase	KAG6624038.1
263	IUM83_01960	Serine protease	KAG6623792.1
264	IUM83_01961	hypothetical protein	KAG6623793.1
265	IUM83_01962	hypothetical protein	KAG6623790.1
266	IUM83_01963	Histone H4	KAG6623791.1
267	IUM83_01964	hypothetical protein	KAG6623796.1
268	IUM83_01965	hypothetical protein	KAG6623797.1
269	IUM83_01966	multidrug resistance protein ABC superfamily	KAG6623794.1
270	IUM83_01967	hypothetical protein	KAG6623795.1
271	IUM83_01968	hypothetical protein	KAG6623798.1
272	IUM83_01969	Adenylyl cyclase-associated protein	KAG6623799.1
273	IUM83_01970	hypothetical protein	KAG6623498.1
274	IUM83_01971	hypothetical protein	KAG6623497.1
275	IUM83_01972	RxLR effector protein	KAG6623500.1
276	IUM83_01973	Secreted RxLR effector peptide protein	KAG6623499.1
277	IUM83_01974	Cleavage induced conserved protein	KAG6623494.1
278	IUM83_01975	high mobility group (HMG) box protein	KAG6623493.1
279	IUM83_01976	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma	KAG6623496.1
280	IUM83_01977	hypothetical protein	KAG6623495.1
281	IUM83_01978	putative secreted RxLR effector peptide protein	KAG6623492.1
282	IUM83_01979	hypothetical protein	KAG6623491.1
283	IUM83_01980	Integrase catalytic core protein	KAG6623897.1
284	IUM83_01981	putative secreted RxLR effector peptide protein	KAG6623675.1
285	IUM83_01982	hypothetical protein	KAG6623676.1
286	IUM83_01983	Nuclear pore complex component (sc Nup85)	KAG6623678.1
287	IUM83_01984	Nuclear pore complex protein Nup85	KAG6623727.1
288	IUM83_01985	NAD-specific glutamate dehydrogenase	KAG6623895.1
289	IUM83_01986	NAD-specific glutamate dehydrogenase	KAG6623625.1
290	IUM83_01987	NAD-specific glutamate dehydrogenase	KAG6623896.1
291	IUM83_01988	hypothetical protein	KAG6623893.1
292	IUM83_01989	myosin-like protein	KAG6623894.1
293	IUM83_01990	Hydroxyacylglutathione hydrolase	KAG6623982.1
294	IUM83_01991	putative polyprotein	KAG6623521.1
295	IUM83_01992	P-type ATPase (P-ATPase) Superfamily	KAG6623591.1
296	IUM83_01993	P-type ATPase (P-ATPase) Superfamily	KAG6623590.1
297	IUM83_01994	P-type ATPase (P-ATPase) Superfamily	KAG6623597.1
298	IUM83_01995	P-type ATPase (P-ATPase) Superfamily	KAG6623589.1
299	IUM83_01996	hypothetical protein	KAG6623979.1
300	IUM83_01997	hypothetical protein	KAG6623501.1
301	IUM83_01998	Lysosomal beta glucosidase	KAG6623490.1
302	IUM83_01999	hypothetical protein	KAG6623588.1
303	IUM83_02000	hypothetical protein	KAG6623779.1
304	IUM83_02001	hypothetical protein	KAG6623780.1
305	IUM83_02002	hypothetical protein	KAG6623781.1
306	IUM83_02003	hypothetical protein	KAG6623782.1
307	IUM83_02004	hypothetical protein	KAG6623577.1
308	IUM83_02005	hypothetical protein	KAG6623579.1
309	IUM83_02006	hypothetical protein	KAG6623783.1
310	IUM83_02007	putative thioredoxin	KAG6623784.1
311	IUM83_02008	F-box protein	KAG6623994.1
312	IUM83_02009	putative glucose transporter	KAG6623778.1
313	IUM83_02010	Major Facilitator Superfamily (MFS)	KAG6623481.1
314	IUM83_02011	putative thioredoxin	KAG6623480.1
315	IUM83_02012	CRN2-like protein	KAG6623479.1
316	IUM83_02013	hypothetical protein	KAG6623478.1
317	IUM83_02014	hypothetical protein	KAG6623485.1
318	IUM83_02015	RxLR effector family	KAG6623484.1
319	IUM83_02016	Pleiotropic drug resistance protein	KAG6623483.1
320	IUM83_02017	Solute carrier family 2	KAG6623482.1
321	IUM83_02018	Copia LTR rider	KAG6623477.1
322	IUM83_02019	hypothetical protein	KAG6623716.1
323	IUM83_02020	putative EndonucleaseReverse transcriptase	KAG6623819.1
324	IUM83_02021	hypothetical protein	KAG6623820.1
325	IUM83_02022	hypothetical protein	KAG6623817.1
326	IUM83_02023	Pol protein	KAG6623818.1
327	IUM83_02024	hypothetical protein	KAG6623823.1
328	IUM83_02025	hypothetical protein	KAG6623824.1
329	IUM83_02026	hypothetical protein	KAG6623821.1
330	IUM83_02027	hypothetical protein	KAG6623822.1
331	IUM83_02028	putative secreted RxLR effector protein	KAG6623825.1
332	IUM83_02029	Testis-expressed sequence 10 protein	KAG6623826.1
333	IUM83_02030	hypothetical protein	KAG6623519.1
334	IUM83_02031	putative retroelement	KAG6623518.1
335	IUM83_02032	sulfatase-like protein	KAG6623703.1
336	IUM83_02033	bZIP transcription factor 1	KAG6623520.1
337	IUM83_02034	major facilitator superfamily	KAG6623515.1
338	IUM83_02035	DNA binding protein	KAG6623701.1
339	IUM83_02036	putative xylanase	KAG6623517.1
340	IUM83_02037	atp-binding cassette superfamily	KAG6623516.1
341	IUM83_02038	ABC transporter-like protein	KAG6623514.1
342	IUM83_02039	putative ferric reductase	KAG6623513.1
343	IUM83_02040	putative cysteine protease family C59	KAG6623846.1
344	IUM83_02041	atp-binding cassette superfamily	KAG6623847.1
345	IUM83_02042	putative serine protease family S33	KAG6623815.1
346	IUM83_02043	Ferric reductase	KAG6623848.1
347	IUM83_02044	Ferric reductase	KAG6623842.1
348	IUM83_02045	putative glucosylceramidase	KAG6623843.1
349	IUM83_02046	NPP1-like protein	KAG6623844.1
350	IUM83_02047	necrosis inducing-like protein NPP1 type	KAG6623845.1
351	IUM83_02048	NAD-dependent malic enzyme	KAG6623850.1
352	IUM83_02049	hypothetical protein	KAG6623816.1
353	IUM83_02050	putative xylanase	KAG6623726.1
354	IUM83_02051	NAD-dependent malic enzyme	KAG6623553.1
355	IUM83_02052	Gag-pol fusion protein	KAG6623552.1
356	IUM83_02053	necrosis inducing-like protein NPP1 type	KAG6623551.1
357	IUM83_02054	necrosis inducing-like protein NPP1 type	KAG6623725.1
358	IUM83_02055	CENP-b protein 1	KAG6623550.1
359	IUM83_02056	necrosis inducing-like protein NPP1 type	KAG6623549.1
360	IUM83_02057	necrosis inducing-like protein NPP1 type	KAG6623548.1
361	IUM83_02058	necrosis inducing-like protein NPP1 type	KAG6623555.1
362	IUM83_02059	necrosis inducing-like protein NPP1 type	KAG6623554.1
363	IUM83_02060	necrosis inducing-like protein NPP1 type	KAG6623920.1
364	IUM83_02061	necrosis inducing-like protein NPP1 type	KAG6623921.1
365	IUM83_02062	Superoxide-generating NADPH oxidase heavy chain subunit A	KAG6623871.1
366	IUM83_02063	hypothetical protein	KAG6623923.1
367	IUM83_02064	necrosis inducing-like protein NPP1 type	KAG6623919.1
368	IUM83_02065	hypothetical protein	KAG6623870.1
369	IUM83_02066	Kelch domain-containing protein 4	KAG6623869.1
370	IUM83_02067	necrosis inducing-like protein NPP1 type	KAG6623556.1
371	IUM83_02068	necrosis inducing-like protein NPP1 type	KAG6623868.1
372	IUM83_02069	hypothetical protein	KAG6623922.1
373	IUM83_02070	necrosis inducing-like protein NPP1 type	KAG6623876.1
374	IUM83_02071	NPP1-like protein	KAG6623571.1
375	IUM83_02072	hypothetical protein	KAG6623573.1
376	IUM83_02073	putative secreted RxLR effector protein	KAG6623572.1
377	IUM83_02074	reverse transcriptase	KAG6623575.1
378	IUM83_02075	reverse transcriptase	KAG6623574.1
379	IUM83_02076	Eukaryotic/viral aspartic protease	KAG6623631.1
380	IUM83_02077	hypothetical protein	KAG6623927.1
381	IUM83_02078	hypothetical protein	KAG6623626.1
382	IUM83_02079	hypothetical protein	KAG6623875.1
383	IUM83_02080	Superoxide-generating NADPH oxidase heavy chain subunit A	KAG6623879.1
384	IUM83_02081	NPP1-like protein	KAG6623880.1
385	IUM83_02082	phosphatase PTC7 family protein	KAG6623881.1
386	IUM83_02083	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4	KAG6623883.1
387	IUM83_02084	putative geranylgeranyl transferase type-2 subunit alpha	KAG6623884.1
388	IUM83_02085	membrane protein	KAG6623885.1
389	IUM83_02086	Basic-leucine zipper domain	KAG6623886.1
390	IUM83_02087	Friend of PRMT1 duplication	KAG6623887.1
391	IUM83_02088	protein phosphatase 2C 10	KAG6623888.1
392	IUM83_02089	Receptor expression-enhancing protein 4	KAG6623889.1
393	IUM83_02090	Adenylate cyclase	KAG6623617.1
394	IUM83_02091	ABC transporter C family member 5	KAG6623615.1
395	IUM83_02092	Solute carrier family 2	KAG6623974.1
396	IUM83_02093	Solute carrier family 2	KAG6623580.1
397	IUM83_02094	Solute carrier family 2	KAG6623981.1
398	IUM83_02095	hypothetical protein	KAG6623975.1
399	IUM83_02096	Solute carrier family 2	KAG6623582.1
400	IUM83_02097	Solute carrier family 2	KAG6623581.1
401	IUM83_02098	Solute carrier family 2	KAG6623584.1
402	IUM83_02099	Solute carrier family 2	KAG6623583.1
403	IUM83_02100	putative transposase	KAG6623928.1
404	IUM83_02101	hypothetical protein	KAG6624024.1
405	IUM83_02102	hypothetical protein	KAG6623957.1
406	IUM83_02103	alcohol dehydrogenase	KAG6624028.1
407	IUM83_02104	Alpha- and gamma-adaptin-binding protein p34	KAG6623702.1
408	IUM83_02105	Syntaxin-binding protein 5	KAG6623576.1
409	IUM83_02106	tRNA pseudouridine(38-40) synthase	KAG6623578.1
410	IUM83_02107	hypothetical protein	KAG6623958.1
411	IUM83_02108	hypothetical protein	KAG6623960.1
412	IUM83_02109	putative secreted RxLR effector protein	KAG6623959.1
413	IUM83_02110	Condensin-2 complex subunit H2	KAG6623973.1
414	IUM83_02111	GATS protein 3	KAG6623686.1
415	IUM83_02112	hypothetical protein	KAG6623612.1
416	IUM83_02113	putative secreted RxLR effector protein	KAG6623613.1
417	IUM83_02114	Transmembrane protein 18	KAG6623611.1
418	IUM83_02115	Serine/threonine protein kinase	KAG6623972.1
419	IUM83_02116	putative secreted RxLR effector protein	KAG6623961.1
420	IUM83_02117	Transmembrane protein 18	KAG6623685.1
421	IUM83_02118	lysine-tRNA ligase	KAG6623687.1
422	IUM83_02119	ankyrin repeat-containing protein	KAG6623978.1
423	IUM83_02120	hypothetical protein	KAG6623940.1
424	IUM83_02121	Dynein heavy chain	KAG6623939.1
425	IUM83_02122	hypothetical protein	KAG6623938.1
426	IUM83_02123	hypothetical protein	KAG6623937.1
427	IUM83_02124	ankyrin repeat-containing protein	KAG6623936.1
428	IUM83_02125	3-like protein	KAG6623935.1
429	IUM83_02126	hypothetical protein	KAG6623934.1
430	IUM83_02127	3-like protein	KAG6623933.1
431	IUM83_02128	Ankyrin repeat protein	KAG6623932.1
432	IUM83_02129	MtN3-like protein	KAG6623931.1
433	IUM83_02130	WD repeat-containing protein 92	KAG6623659.1
434	IUM83_02131	hypothetical protein	KAG6623503.1
435	IUM83_02132	Cobalamin synthesis protein	KAG6623660.1
436	IUM83_02133	hypothetical protein	KAG6623506.1
