"gene_id","protein_id","description","BP_Term","BP_GO_IDs","MF_Term","MF_GO_IDs","CC_Term","CC_GO_IDs","SP..TM","Prediction"
"IUM83_18960","KAG6572534.1","Histone-lysine N-methyltransferase","negative regulation of DNA-templated transcription; -","GO:0045892; -","-; transcription corepressor activity","-; GO:0003714","-","-","No, 0","-"
"IUM83_18961","KAG6572535.1","nuclear cap-binding protein subunit, putative","mRNA cis splicing, via spliceosome; mRNA transport; -","GO:0045292; GO:0051028; -","-; RNA cap binding","-; GO:0000339","-; nuclear cap binding complex","-; GO:0005846","No, 0","-"
"IUM83_18962","KAG6572536.1","Major Facilitator Superfamily (MFS)","-","-","-","-","membrane","GO:0016020","Yes, 2","Non-effector"
"IUM83_18963","KAG6572537.1","nuclear autoantigenic sperm","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_18947","KAG6572538.1","Rhamnogalacturonate lyase A","-","-","-","-","-","-","No, 0","-"
"IUM83_18948","KAG6572539.1","Rhamnogalacturonate lyase A","-","-","-","-","-","-","No, 0","-"
"IUM83_18949","KAG6572540.1","Glutamate decarboxylase 4","glutamate metabolic process; -","GO:0006536; -","-; glutamate decarboxylase activity; pyridoxal phosphate binding","-; GO:0004351; GO:0030170","-","-","No, 0","-"
"IUM83_19013","KAG6572541.1","PhosphoLipase D, Pi-PLD-like-1","-","-","catalytic activity","GO:0003824","-","-","No, 0","-"
"IUM83_19012","KAG6572542.1","GDSL esterase/lipase","-","-","-","-","-","-","No, 0","-"
"IUM83_19011","KAG6572543.1","phospholipase D, Pi-PLD-like-1","-","-","catalytic activity","GO:0003824","-","-","No, 0","-"
"IUM83_19010","KAG6572544.1","putative isoamyl acetate-hydrolyzing esterase","-","-","-","-","membrane","GO:0016020","Yes, 1","-"
NA,"KAG6572545.1","Puromycin-sensitive aminopeptidase","-","-","-","-","-","-","No, 0","-"
"IUM83_18975","KAG6572546.1","hypothetical protein IUM83_18975","-","-","-","-","-","-","No, 0","-"
"IUM83_18973","KAG6572547.1","Methionine-tRNA ligase, beta subunit","-","-","tRNA binding","GO:0000049","-","-","No, 0","-"
"IUM83_18983","KAG6572548.1","histone demethylase","-","-","-","-","-","-","No, 0","-"
"IUM83_18984","KAG6572549.1","GroEL-like equatorial domain","chaperone-mediated protein complex assembly","GO:0051131","-","-","-","-","No, 0","-"
"IUM83_18985","KAG6572550.1","Peroxisome biogenesis protein 22","peroxisome organization","GO:0007031","-","-","-","-","No, 1","Non-effector"
"IUM83_18981","KAG6572551.1","WD repeat-containing protein mio","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_18999","KAG6572552.1","Lysosomal thioesterase PPT2-A","-","-","-","-","-","-","No, 0","-"
"IUM83_18998","KAG6572553.1","arf guanine-nucleotide exchange factor gnom-like","regulation of ARF protein signal transduction; -","GO:0032012; -","-; guanyl-nucleotide exchange factor activity","-; GO:0005085","-","-","No, 0","-"
"IUM83_18995","KAG6572554.1","putative pre-mRNA polyadenylation factor","-","-","-","-","nucleus","GO:0005634","No, 0","-"
"IUM83_18994","KAG6572555.1","60S ribosomal protein L21-1","translation; -","GO:0006412; -","-; structural constituent of ribosome","-; GO:0003735","-; ribosome","-; GO:0005840","No, 0","-"
"IUM83_18997","KAG6572556.1","putative ATPase (PP-loop superfamily)","-","-","ligase activity; diphthine-ammonia ligase activity","GO:0016874; GO:0017178","-","-","No, 0","-"
"IUM83_18996","KAG6572557.1","putative ATPase (PP-loop superfamily)","-","-","ligase activity; diphthine-ammonia ligase activity","GO:0016874; GO:0017178","-","-","No, 0","-"
"IUM83_18991","KAG6572558.1","hypothetical protein IUM83_18991","-","-","-","-","-","-","No, 0","-"
"IUM83_18990","KAG6572559.1","Helicase associated domain-containing protein","-","-","-","-","-","-","No, 0","-"
"IUM83_18993","KAG6572560.1","60s ribosomal protein l21-1","translation; -","GO:0006412; -","-; structural constituent of ribosome","-; GO:0003735","-; ribosome; chloroplast","-; GO:0005840; GO:0009507","No, 0","-"
"IUM83_18992","KAG6572561.1","YggS family pyridoxal phosphate enzyme","-","-","pyridoxal phosphate binding","GO:0030170","-","-","No, 0","-"
"IUM83_17687","KAG6572562.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17684","KAG6572563.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17684","KAG6572564.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","Yes, 4","-"
"IUM83_17612","KAG6572565.1","Tetratricopeptide-like helical","-","-","-","-","-","-","No, 0","-"
"IUM83_17617","KAG6572566.1","Retrovirus-related Pol polyprotein from transposon TNT 1-94","DNA integration; -","GO:0015074; -","-; nucleic acid binding; zinc ion binding","-; GO:0003676; GO:0008270","-","-","No, 0","-"
"IUM83_17664","KAG6572567.1","hypothetical protein IUM83_17664","-","-","-","-","-","-","No, 0","-"
"IUM83_17700","KAG6572568.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","Yes, 10","Non-effector"
"IUM83_17704","KAG6572569.1","leishmanolysin-like peptidase","-","-","-","-","-","-","No, 0","-"
"IUM83_17650","KAG6572570.1","hypothetical protein IUM83_17650","-","-","-","-","-","-","No, 0","-"
"IUM83_17639","KAG6572571.1","hypothetical protein IUM83_17639","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17630","KAG6572572.1","hypothetical protein IUM83_17630","-","-","-","-","-","-","No, 0","-"
"IUM83_17659","KAG6572573.1","Transposon-encoded protein","-","-","-","-","-","-","No, 0","-"
"IUM83_17613","KAG6572574.1","Tetratricopeptide-like helical","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17616","KAG6572575.1","Retrovirus-related Pol polyprotein from transposon TNT 1-94","DNA integration; -","GO:0015074; -","-; nucleic acid binding","-; GO:0003676","-","-","No, 0","-"
"IUM83_17622","KAG6572576.1","WRKY transcription factor 19","-","-","-","-","-","-","No, 0","-"
"IUM83_17623","KAG6572577.1","hypothetical protein IUM83_17623","-","-","-","-","membrane","GO:0016020","Yes, 2","Apoplastic effector"
"IUM83_17620","KAG6572578.1","hypothetical protein IUM83_17620","-","-","-","-","-","-","No, 0","-"
"IUM83_17627","KAG6572579.1","E3 ubiquitin-protein ligase TTC3","-","-","-","-","-","-","No, 0","-"
"IUM83_17625","KAG6572580.1","CCT motif-containing protein","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_17628","KAG6572581.1","E3 ubiquitin-protein ligase TTC3","-","-","-","-","-","-","No, 0","-"
"IUM83_17629","KAG6572582.1","hypothetical protein IUM83_17629","-","-","-","-","-","-","No, 0","-"
"IUM83_17644","KAG6572583.1","hypothetical protein IUM83_17644","-","-","-","-","-","-","No, 0","-"
"IUM83_17645","KAG6572584.1","hypothetical protein IUM83_17656","-","-","-","-","-","-","No, 0","-"
"IUM83_17647","KAG6572585.1","Glycosyltransferase AER61, uncharacterized","-","-","glycosyltransferase activity","GO:0016757","-","-","No, 0","-"
"IUM83_17640","KAG6572586.1","hypothetical protein IUM83_17644","-","-","-","-","-","-","No, 0","-"
"IUM83_17641","KAG6572587.1","hypothetical protein IUM83_17641","-","-","-","-","-","-","No, 0","-"
"IUM83_17642","KAG6572588.1","hypothetical protein IUM83_17642","-","-","-","-","-","-","No, 0","-"
"IUM83_17643","KAG6572589.1","hypothetical protein IUM83_17643","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17648","KAG6572590.1","hypothetical protein IUM83_17648","-","-","-","-","-","-","No, 0","-"
"IUM83_17649","KAG6572591.1","hypothetical protein IUM83_17649","-","-","-","-","-","-","No, 0","-"
"IUM83_17668","KAG6572592.1","Molybdopterin synthase catalytic subunit","-","-","-","-","-","-","No, 0","-"
"IUM83_17669","KAG6572593.1","hypothetical protein IUM83_17669","-","-","-","-","-","-","No, 0","-"
"IUM83_17667","KAG6572594.1","Molybdopterin synthase catalytic subunit","-","-","-","-","-","-","No, 0","-"
"IUM83_17665","KAG6572595.1","hypothetical protein IUM83_17665","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17662","KAG6572596.1","Integrase catalytic core protein","DNA integration; -","GO:0015074; -","-; nucleic acid binding","-; GO:0003676","-","-","No, 0","-"
"IUM83_17663","KAG6572597.1","hypothetical protein IUM83_17663","-","-","-","-","-","-","No, 0","-"
"IUM83_17660","KAG6572598.1","Pol protein","DNA integration; -","GO:0015074; -","-; nucleic acid binding","-; GO:0003676","-","-","No, 0","-"
"IUM83_17666","KAG6572599.1","Ankyrin repeats (many copies)","-","-","-","-","extracellular region; host cell cytoplasm; host cell nucleus","GO:0005576; GO:0030430; GO:0042025","Yes, 0","Non-effector"
"IUM83_17680","KAG6572600.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17681","KAG6572601.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17682","KAG6572602.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17683","KAG6572603.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17685","KAG6572604.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17686","KAG6572605.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17688","KAG6572606.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17689","KAG6572607.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17646","KAG6572608.1","putative polyprotein","-","-","nucleic acid binding; zinc ion binding","GO:0003676; GO:0008270","-","-","No, 0","-"
"IUM83_17614","KAG6572609.1","putative importin subunit beta-4","protein import into nucleus; intracellular protein transport; protein transport; -","GO:0006606; GO:0006886; GO:0015031; -","-; small GTPase binding","-; GO:0031267","-; nucleus; cytoplasm","-; GO:0005634; GO:0005737","No, 0","-"
"IUM83_17701","KAG6572610.1","leishmanolysin-like peptidase","-","-","-","-","-","-","No, 0","-"
"IUM83_17703","KAG6572611.1","hypothetical protein IUM83_17703","-","-","-","-","-","-","No, 0","-"
"IUM83_17702","KAG6572612.1","Replication protein A 70 kDa DNA-binding subunit","-","-","nucleic acid binding","GO:0003676","-","-","No, 0","-"
"IUM83_17705","KAG6572613.1","ABC transporter B family member 3","transmembrane transport; -","GO:0055085; -","-; ATP binding; ABC-type transporter activity","-; GO:0005524; GO:0140359","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17707","KAG6572614.1","secreted RxLR effector peptide protein, putative","proteolysis; -","GO:0006508; -","-; peptidase activity","-; GO:0008233","-; extracellular region; host cell nucleus","-; GO:0005576; GO:0042025","Yes, 0","-"
"IUM83_17709","KAG6572615.1","hypothetical protein IUM83_17709","-","-","-","-","membrane","GO:0016020","No, 1","-"
"IUM83_17708","KAG6572616.1","putative alcohol dehydrogenase","-","-","zinc ion binding; oxidoreductase activity","GO:0008270; GO:0016491","-","-","No, 0","-"
"IUM83_17673","KAG6572617.1","mannan endo-1,4-beta-mannosidase, putative","organic substance metabolic process; -","GO:0071704; -","-; hydrolase activity, hydrolyzing O-glycosyl compounds","-; GO:0004553","-","-","Yes, 0","Apoplastic effector"
"IUM83_17672","KAG6572618.1","hypothetical protein IUM83_17672","-","-","-","-","-","-","No, 0","-"
"IUM83_17677","KAG6572619.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17676","KAG6572620.1","Ankyrin repeat domain-containing protein 50","-","-","-","-","-","-","No, 0","-"
"IUM83_17706","KAG6572621.1","Multidrug resistance protein","transmembrane transport; -","GO:0055085; -","-; ATP binding; ABC-type transporter activity","-; GO:0005524; GO:0140359","-; membrane","-; GO:0016020","No, 1","-"
"IUM83_17621","KAG6572622.1","rab-like protein 5-like","-","-","GTPase activity; GTP binding","GO:0003924; GO:0005525","-","-","No, 0","-"
"IUM83_17626","KAG6572623.1","DNA primase","-","-","-","-","-","-","No, 0","-"
"IUM83_17661","KAG6572624.1","Pol Polyprotein","-","-","-","-","-","-","No, 1","-"
"IUM83_17619","KAG6572625.1","hypothetical protein IUM83_17619","-","-","-","-","-","-","No, 0","-"
"IUM83_17618","KAG6572626.1","Tetratricopeptide-like helical","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17615","KAG6572627.1","Pol protein","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17638","KAG6572628.1","hypothetical protein IUM83_17638","-","-","-","-","-","-","No, 0","-"
"IUM83_17635","KAG6572629.1","hypothetical protein IUM83_17635","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17634","KAG6572630.1","hypothetical protein IUM83_17642","-","-","-","-","-","-","No, 0","-"
"IUM83_17637","KAG6572631.1","hypothetical protein IUM83_17637","-","-","-","-","-","-","No, 0","-"
"IUM83_17636","KAG6572632.1","hypothetical protein IUM83_17644","-","-","-","-","-","-","No, 0","-"
"IUM83_17631","KAG6572633.1","hypothetical protein IUM83_17631","-","-","-","-","-","-","No, 0","-"
"IUM83_17633","KAG6572634.1","hypothetical protein IUM83_17633","-","-","-","-","-","-","No, 0","-"
"IUM83_17632","KAG6572635.1","hypothetical protein IUM83_17632","-","-","-","-","-","-","No, 0","-"
"IUM83_17624","KAG6572636.1","40S ribosomal protein S8","-","-","-","-","ribosome","GO:0005840","No, 0","-"
"IUM83_17657","KAG6572637.1","hypothetical protein IUM83_17657","-","-","-","-","-","-","No, 0","-"
"IUM83_17656","KAG6572638.1","hypothetical protein IUM83_17656","-","-","-","-","-","-","No, 0","-"
"IUM83_17655","KAG6572639.1","hypothetical protein IUM83_17644","-","-","-","-","-","-","No, 0","-"
"IUM83_17654","KAG6572640.1","hypothetical protein IUM83_17654","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17653","KAG6572641.1","hypothetical protein IUM83_17653","-","-","-","-","-","-","No, 0","-"
"IUM83_17652","KAG6572642.1","hypothetical protein IUM83_17652","-","-","-","-","-","-","No, 0","-"
"IUM83_17651","KAG6572643.1","reverse transcriptase","DNA integration; -","GO:0015074; -","-; nucleic acid binding","-; GO:0003676","-","-","No, 0","-"
"IUM83_17658","KAG6572644.1","hypothetical protein IUM83_17658","-","-","-","-","-","-","No, 0","-"
"IUM83_17679","KAG6572645.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17678","KAG6572646.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17671","KAG6572647.1","putative secreted RxLR effector protein","-","-","-","-","membrane","GO:0016020","Yes, 1","Cytoplasmic effector"
"IUM83_17670","KAG6572648.1","mannan endo-1","organic substance metabolic process; -","GO:0071704; -","-; hydrolase activity, hydrolyzing O-glycosyl compounds","-; GO:0004553","-","-","Yes, 0","Non-effector"
"IUM83_17675","KAG6572649.1","GrxB family glutaredoxin","glutathione metabolic process; -","GO:0006749; -","-; protein binding; obsolete glutathione oxidoreductase activity","-; GO:0005515; GO:0097573","-; cytosol","-; GO:0005829","Yes, 0","Cytoplasmic effector"
"IUM83_17674","KAG6572650.1","GrxB family glutaredoxin","glutathione metabolic process; -","GO:0006749; -","-; protein binding; obsolete glutathione oxidoreductase activity","-; GO:0005515; GO:0097573","-; cytosol","-; GO:0005829","Yes, 1","Non-effector"
"IUM83_17693","KAG6572651.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17692","KAG6572652.1","WD repeat-containing protein 54","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17692","KAG6572653.1","WD repeat-containing protein 54","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17692","KAG6572654.1","WD repeat-containing protein 54","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","Yes, 4","-"
"IUM83_17691","KAG6572655.1","putative aquaporin","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17690","KAG6572656.1","Major intrinsic protein","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 5","-"
"IUM83_17697","KAG6572657.1","Tetratricopeptide repeat protein","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_17697","KAG6572658.1","Tetratricopeptide repeat protein","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_17696","KAG6572659.1","GrxB family glutaredoxin","glutathione metabolic process; -","GO:0006749; -","-; protein binding","-; GO:0005515","-","-","No, 0","-"
"IUM83_17695","KAG6572660.1","rRNA processing protein RRP7","-","-","nucleic acid binding","GO:0003676","-","-","No, 0","-"
"IUM83_17694","KAG6572661.1","WD repeat-containing protein 54","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","Yes, 4","-"
"IUM83_17694","KAG6572662.1","WD repeat-containing protein 54","transmembrane transport; -","GO:0055085; -","-; channel activity","-; GO:0015267","-; membrane","-; GO:0016020","No, 6","-"
"IUM83_17699","KAG6572663.1","TTK protein kinase","protein phosphorylation; mitotic cell cycle checkpoint signaling; chromosome separation; -","GO:0006468; GO:0007093; GO:0051304; -","-; protein serine/threonine/tyrosine kinase activity; ATP binding","-; GO:0004712; GO:0005524","-","-","No, 0","-"
"IUM83_17698","KAG6572664.1","Microtubule -associated protein EB1","-","-","microtubule binding","GO:0008017","-","-","No, 0","-"
"IUM83_19808","KAG6572665.1","Target SNARE coiled-coil domain","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_19809","KAG6572666.1","Homeobox protein Wariai","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_19800","KAG6572667.1","hypothetical protein IUM83_19800","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_19801","KAG6572668.1","hypothetical protein IUM83_19801","-","-","-","-","-","-","No, 0","-"
"IUM83_19802","KAG6572669.1","60S ribosomal protein L32-1","translation; -","GO:0006412; -","-; structural constituent of ribosome","-; GO:0003735","-; ribosome","-; GO:0005840","No, 0","-"
"IUM83_19803","KAG6572670.1","Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4","-","-","catalytic activity","GO:0003824","-","-","Yes, 0","-"
"IUM83_19804","KAG6572671.1","Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4","-","-","catalytic activity","GO:0003824","-","-","No, 0","-"
"IUM83_19806","KAG6572672.1","Spermidine synthase 1","-","-","catalytic activity","GO:0003824","-","-","No, 0","-"
"IUM83_19813","KAG6572673.1","Respiratory burst oxidase","-","-","oxidoreductase activity; -","GO:0016491; -","-; membrane","-; GO:0016020","Yes, 0","Non-effector"
"IUM83_19813","KAG6572674.1","Respiratory burst oxidase","-","-","oxidoreductase activity; -","GO:0016491; -","-; membrane","-; GO:0016020","No, 4","-"
"IUM83_19812","KAG6572675.1","Release factor glutamine methyltransferase","protein methylation; -","GO:0006479; -","-; protein methyltransferase activity","-; GO:0008276","-","-","No, 0","-"
"IUM83_19812","KAG6572676.1","Release factor glutamine methyltransferase","protein methylation; -","GO:0006479; -","-; protein methyltransferase activity","-; GO:0008276","-","-","No, 0","-"
"IUM83_19810","KAG6572677.1","Testis-expressed sequence 9 protein","-","-","-","-","-","-","No, 0","-"
"IUM83_19815","KAG6572678.1","reverse transcriptase","-","-","-","-","-","-","No, 0","-"
"IUM83_19814","KAG6572679.1","reverse transcriptase","RNA-templated DNA biosynthetic process; -","GO:0006278; -","-; RNA-directed DNA polymerase activity","-; GO:0003964","-","-","No, 0","-"
"IUM83_19799","KAG6572680.1","cytochrome c oxidase assembly protein COX11, mitochondrial precursor","-","-","copper ion binding","GO:0005507","-","-","No, 1","-"
"IUM83_19798","KAG6572681.1","nuclear transcription factor Y subunit beta","regulation of DNA-templated transcription; -","GO:0006355; -","-; DNA-binding transcription activator activity, RNA polymerase II-specific; protein heterodimerization activity","-; GO:0001228; GO:0046982","-; CCAAT-binding factor complex","-; GO:0016602","No, 0","-"
"IUM83_19811","KAG6572682.1","putative secreted RxLR effector protein","-","-","-","-","extracellular region; host cell","GO:0005576; GO:0043657","Yes, 0","-"
